stop_id;STOP_NAME
RTP:SA:3754264;BOBILLOT
RTP:SA:3764532;BOBILLOT-TOLBIAC
RTP:SA:5018212;BOIS LE PRETRE
RTP:SA:2073;BOISSIERE
RTP:SA:4008280;BOISSY D'ANGLAS
RTP:SA:2075;BOLIVAR
RTP:SA:3687422;BONAPARTE - SAINT-GERMAIN
RTP:SA:2001;BONNE NOUVELLE
RTP:SA:3765008;BORREGO
RTP:SA:3687109;BOSQUET - GRENELLE
RTP:SA:3749902;BOSQUET - RAPP
RTP:SA:3687115;BOSQUET - SAINT-DOMINIQUE
RTP:SA:2002;BOTZARIS
RTP:SA:4354147;BOTZARIS - BUTTES CHAUMONT
RTP:SA:3343338;BOUCICAUT
RTP:SA:4035717;BOUCRY
RTP:SA:4010703;BOULAY
RTP:SA:5018221;BOULEVARD DES BATIGNOLLES
TRN:SA:DUA8739332;BOULEVARD VICTOR
RTP:SA:3687102;BOURGOGNE
RTP:SA:2007;BOURSE
RTP:SA:3754285;BOUSSINGAULT
RTP:SA:3813510;BRANCION
RTP:SA:3887792;BRANCION - MORILLONS
RTP:SA:3887790;BRANCION - VOUILLE
RTP:SA:3687124;BREGUET - SABIN
RTP:SA:3687439;BRETAGNE
RTP:SA:3764714;BRETEUIL
RTP:SA:2009;BROCHANT
RTP:SA:4010701;BROCHANT - CARDINET
RTP:SA:2008;BREGUET-SABIN
RTP:SA:3749919;BUCAREST
RTP:SA:3887758;BUFFON - JARDIN DES PLANTES
RTP:SA:3764521;BUFFON-LA MOSQUEE
RTP:SA:4008230;BUGEAUD
RTP:SA:3813325;BUTTE DU CHAPEAU ROUGE
RTP:SA:2013;BUTTES-CHAUMONT
RTP:SA:2014;BUZENVAL
RTP:SA:2015;CADET
RTP:SA:3741054;CAIL - DEMARQUAY
RTP:SA:3765031;CAMBRAI
RTP:SA:2016;CAMBRONNE
RTP:SA:3749885;CAMBRONNE - LECOURBE
RTP:SA:3749884;CAMBRONNE - VAUGIRARD
RTP:SA:3926161;CAMILLE FLAMMARION
RTP:SA:3764969;CAMPAGNE PREMIERE
RTP:SA:2017;CAMPO-FORMIO
RTP:SA:3765027;CANAL DE L'OURCQ
RTP:SA:3813332;CANAL SAINT DENIS
RTP:SA:3747915;CANAL SAINT-MARTIN
RTP:SA:3811233;CAPUCINES - CAUMARTIN
RTP:SA:2018;CARDINAL-LEMOINE
RTP:SA:3686908;CARREFOUR DE BEAUTE
RTP:SA:3740509;CARREFOUR DE CHATEAUDUN
RTP:SA:4024628;CARREFOUR DE LONGCHAMP
RTP:SA:3686904;CARTOUCHERIE
RTP:SA:3786164;CASERNE DES GARDES
RTP:SA:4008421;CASTIGLIONE
RTP:SA:3764471;CAUCHY
RTP:SA:2020;CENSIER-DAUBENTON
RTP:SA:3747828;CENTRE GEORGES POMPIDOU
